design,scenario,level,fold,accuracy,measles_recall,measles_precision,coverage,caught_or_referred
2 v2 (unknown-aware),combined,0.05,2,0.9239583333333333,0.99375,0.9695121951219512,1.0,0.99375
3 v2 + refer if key fields unknown,combined,0.05,2,0.9233193277310925,0.9937106918238994,0.9693251533742331,0.9916666666666667,0.99375
1 old (unknown looks like no),combined,0.1,2,0.8145833333333333,0.8625,0.8414634146341463,1.0,0.8625
2 v2 (unknown-aware),combined,0.1,2,0.865625,0.975,0.8914285714285715,1.0,0.975
3 v2 + refer if key fields unknown,combined,0.1,2,0.8672470076169749,0.9743589743589743,0.8888888888888888,0.9572916666666667,0.975
1 old (unknown looks like no),combined,0.2,2,0.6322916666666667,0.7,0.6120218579234973,1.0,0.7
2 v2 (unknown-aware),combined,0.2,2,0.7208333333333333,0.95,0.6666666666666666,1.0,0.95
3 v2 + refer if key fields unknown,combined,0.2,2,0.7256637168141593,0.943089430894309,0.6338797814207651,0.8239583333333333,0.95625
1 old (unknown looks like no),combined,0.3,2,0.5041666666666667,0.575,0.5380116959064327,1.0,0.575
2 v2 (unknown-aware),combined,0.3,2,0.5895833333333333,0.84375,0.5510204081632653,1.0,0.84375
3 v2 + refer if key fields unknown,combined,0.3,2,0.6156351791530945,0.8611111111111112,0.5740740740740741,0.6395833333333333,0.90625
1 old (unknown looks like no),missing,0.0,3,0.9458333333333333,1.0,1.0,1.0,1.0
2 v2 (unknown-aware),missing,0.0,3,0.946875,1.0,1.0,1.0,1.0
3 v2 + refer if key fields unknown,missing,0.0,3,0.946875,1.0,1.0,1.0,1.0
1 old (unknown looks like no),missing,0.05,3,0.9083333333333333,0.94375,0.9869281045751634,1.0,0.94375
2 v2 (unknown-aware),missing,0.05,3,0.9385416666666667,1.0,1.0,1.0,1.0
3 v2 + refer if key fields unknown,missing,0.05,3,0.9397463002114165,1.0,1.0,0.9854166666666667,1.0
1 old (unknown looks like no),missing,0.1,3,0.8489583333333334,0.91875,0.9607843137254902,1.0,0.91875
2 v2 (unknown-aware),missing,0.1,3,0.9302083333333333,1.0,1.0,1.0,1.0
3 v2 + refer if key fields unknown,missing,0.1,3,0.9391592920353983,1.0,1.0,0.9416666666666667,1.0
1 old (unknown looks like no),missing,0.2,3,0.7791666666666667,0.8,0.8533333333333334,1.0,0.8
2 v2 (unknown-aware),missing,0.2,3,0.9114583333333334,1.0,0.9937888198757764,1.0,1.0
3 v2 + refer if key fields unknown,missing,0.2,3,0.9258312020460358,1.0,1.0,0.8145833333333333,1.0
1 old (unknown looks like no),missing,0.3,3,0.7125,0.66875,0.856,1.0,0.66875
2 v2 (unknown-aware),missing,0.3,3,0.88125,0.95625,0.9745222929936306,1.0,0.95625
3 v2 + refer if key fields unknown,missing,0.3,3,0.9010819165378671,0.9646017699115044,0.990909090909091,0.6739583333333333,0.975
1 old (unknown looks like no),combined,0.0,3,0.9458333333333333,1.0,1.0,1.0,1.0
2 v2 (unknown-aware),combined,0.0,3,0.946875,1.0,1.0,1.0,1.0
3 v2 + refer if key fields unknown,combined,0.0,3,0.946875,1.0,1.0,1.0,1.0
1 old (unknown looks like no),combined,0.05,3,0.8854166666666666,0.95625,0.9107142857142857,1.0,0.95625
2 v2 (unknown-aware),combined,0.05,3,0.9239583333333333,1.0,0.9876543209876543,1.0,1.0
3 v2 + refer if key fields unknown,combined,0.05,3,0.9242105263157895,1.0,0.9875776397515528,0.9895833333333334,1.0
1 old (unknown looks like no),combined,0.1,3,0.784375,0.88125,0.7833333333333333,1.0,0.88125
2 v2 (unknown-aware),combined,0.1,3,0.8614583333333333,0.9875,0.8926553672316384,1.0,0.9875
